target,alpha,beta
0,-132.98873,-93.71255
1,580.0197,188.02905
1,479.44765,176.03402
1,563.40701,-69.34402
0,-120.3396,324.2689
0,-223.46304,-25.72352
0,-187.10128,-140.13868
1,580.0197,188.02905
1,340.04402,-29.5637
0,-154.56979,418.71162
0,-62.946,263.20428
1,445.98351,30.98903
0,-67.04771,-49.46269
0,109.62091,-198.36715
0,-103.90292,262.94668
1,326.52148,-78.72639
0,-141.67283,-56.69222
1,391.65538,-333.01022
0,-197.76306,-225.95446
1,370.45262,32.88302
1,283.57757,22.60896
0,-196.52544,24.06921
1,764.8077,0.64272
1,458.82688,-130.82065
0,-233.22352,-49.7058
1,384.90807,-314.26494
0,-279.80582,158.17676
1,286.221,-9.28494
0,-125.12345,-68.16034
0,-145.39487,283.10665
0,-266.26443,-2.74334
0,-148.53244,65.24132
1,205.35457,120.96852
0,-153.20598,-138.72511
0,-171.04968,89.06159
0,-259.14584,-79.43443
0,51.41539,152.10076
0,-135.74654,550.22908
0,-235.47925,-107.70494
0,-228.91485,-33.21563
0,-120.41514,334.82698
0,-85.17148,39.47435
0,-215.39962,-164.98863
0,-274.2702,-266.0277
0,-188.03716,61.15899
1,674.03336,45.48358
0,-226.98477,-95.95965
0,-104.40815,406.4468
0,-94.58935,378.44163
0,-262.78613,-438.15665
0,-119.70242,-19.0931
0,-253.81232,-119.76124
1,449.52961,-26.9607
1,599.14495,11.50515
0,-287.79819,-284.98671
0,-202.09364,-69.47838
0,-123.38381,-19.91138
0,-155.80986,450.13527
0,-208.29082,-69.45313
1,398.2699,-159.1841
0,-278.90175,-13.48744
0,-249.3371,-235.60985
0,-11.01772,461.93415
0,-233.22633,272.25871
0,-204.44609,-142.94201
1,355.243,-66.47709
0,-76.40011,-38.96265
0,-246.07861,-160.67801
0,-60.64161,-165.45113
1,519.20034,-144.29141
0,-197.84845,85.56738
0,-304.44367,-210.38782
0,-191.10574,-114.74166
1,279.96329,-314.75415
0,-95.78953,85.38476
0,-288.3808,-282.57569
0,-169.55668,337.96376
1,407.75037,-40.1051
0,-246.40513,78.74308
0,-203.7725,160.36625
1,454.42117,-193.87505
0,-201.74738,233.50797
1,214.42255,-121.43107
1,486.6338,165.31121
0,-174.24531,340.68362
0,-175.9851,319.21512
0,-169.29668,203.64166
0,-320.06674,-258.21631
0,-334.7028,-204.279
0,-302.46118,-312.90675
0,-293.05088,-61.26712
0,-87.31117,-28.78842
0,-223.02498,-2.40751
0,128.01303,293.98729
0,-245.99991,38.34091
0,-171.35497,450.66299
0,-231.70474,257.67398
0,-227.08118,-28.29695
0,-319.61364,-93.98445
0,-258.48784,-28.57736
1,563.52586,-275.38535
1,274.33766,-101.74197
0,-371.77623,38.03173
0,-215.76701,253.04104
0,-184.14436,424.02104
1,440.67757,155.39465
0,-188.77553,44.44968
0,-294.86314,-39.62631
0,-104.62571,105.1441
0,-227.13201,-367.30092
0,-83.79105,-20.25796
0,-296.6703,-32.88794
0,-242.95319,296.53847
0,-250.79511,-34.99834
1,189.0748,-86.14771
0,-262.14609,-125.44346
1,566.68682,-108.86508
0,-185.29132,-145.70556
0,-322.50053,-124.92363
0,-108.64962,425.00501
0,-94.59638,553.68265
0,-104.74292,227.14676
0,-178.581,1.32557
0,-240.40993,-58.2642
0,-339.49928,-125.82091
0,-99.6572,510.41185
1,632.57175,103.09688
0,-234.46119,-285.63015
1,486.41072,10.89818
0,-211.70263,269.3143
0,-310.44981,-263.90462
0,-187.58455,-24.16531
0,-155.24464,182.79249
0,-275.34571,-120.23746
1,323.00596,64.56002
1,405.52208,-224.31014
1,308.84369,-7.41016
0,-295.44869,-14.60054
1,675.57612,111.59083
0,-107.91282,-118.73806
1,406.96045,139.35508
0,-252.38217,-164.70482
0,-219.49075,273.51214
0,-307.13478,-3.80693
0,-209.54157,-138.92091
0,-243.91837,-178.68597
0,-336.09591,60.81849
1,523.15234,-11.03641
0,-276.6575,-190.45719
0,-240.7853,-142.08125
0,64.26704,179.41757
0,-71.86232,-32.32523
0,-82.40062,317.88674
0,-9.11671,33.29739
0,-247.87489,-58.51917
0,-182.04012,-125.66275
0,-138.58226,397.81795
0,-300.47417,-167.45513
0,-259.94329,236.58378
0,-102.39571,-14.54439
1,393.39338,-192.06775
0,-84.25824,111.13105
0,-237.20224,-127.62033
0,-189.49509,-2.59262
0,-155.79189,285.35596
0,-89.99533,-5.23607
0,-99.5702,121.22076
1,596.69094,-92.15901
1,557.9074,46.85427
0,-114.39148,-91.09458
1,669.83846,80.58793
0,-101.5371,-30.93937
0,-234.08138,-177.22831
0,-145.44579,470.10244
0,-284.92787,-257.01982
0,-268.81415,-16.19389
0,151.33735,-120.72761
0,111.45412,184.46129
0,-276.45899,-68.78226
0,-183.35704,42.42604
1,541.24644,-42.61165
1,523.7778,-149.8634
0,-308.17973,-80.12081
0,-222.88729,360.65029
0,-87.41725,341.95053
0,-203.9325,253.1185
0,-349.3257,-115.38101
0,-245.52593,372.91916
0,-49.92247,210.39534
0,-196.63533,-186.1485
0,-141.94217,-7.17536
0,-161.49544,-169.78225
0,-292.40957,140.9272
1,645.59411,47.70704
0,-235.44597,249.01412
0,-86.36792,119.5407
0,-102.90664,427.97544
0,-261.39041,-326.9191
0,-133.82368,-4.83507
1,547.93651,-6.99627
0,-118.13584,98.12408
0,-182.81419,14.08501
0,-240.91873,8.50299
1,514.55538,3.99702
0,88.51161,-211.92204
1,407.54838,-50.79372
0,-120.32263,390.82509
0,-214.4795,210.08159
1,658.16092,97.747
0,-197.6877,195.68233
0,-227.60803,132.08005
0,-283.6345,-84.84435
0,-136.51625,-20.54181
0,-172.83494,291.56977
0,-267.35537,14.89198
0,-335.4585,-34.33453
0,-183.68735,146.7421
0,-305.49344,-239.68128
0,-62.87625,25.44356
1,396.61169,-106.16179
0,-61.80493,279.51664
1,489.14375,-44.49514
0,-242.29476,95.04437
1,315.6423,-280.09579
0,-78.85803,-91.01018
1,480.05675,324.685
0,-97.5991,133.47122
0,-69.43144,271.10172
0,-262.41506,184.62854
0,-308.04808,-287.21603
0,-278.48351,-122.59561
1,288.41329,-150.72138
0,-216.01209,6.7375
1,435.38173,-6.56858
1,619.01957,30.68178
0,-178.36612,-321.77719
0,-147.45394,-44.03429
1,239.42332,-274.15453
0,107.85682,-53.89653
0,-286.39387,-200.26471
0,3.03801,356.04315
0,-324.76697,-107.91786
0,-249.28954,-36.50599
0,-112.87115,437.02359
0,-113.5916,-93.96386
0,-260.45581,-166.94798
0,-151.91463,-48.7438
0,-304.47459,-228.67277
0,-248.45447,-199.80899
1,620.38367,-75.62429
0,-180.75872,-130.74883
0,-187.23148,454.7788
1,511.77871,168.04869
0,-73.13968,436.90171
0,-75.04024,455.50517
0,-249.21407,164.65039
0,-154.65073,60.4331
0,-112.51167,461.17401
0,-156.89245,-86.42893
0,-245.55406,-52.71334
0,-126.01718,92.85078
0,17.32669,-218.01867
0,-275.7262,-170.81275
0,-213.04444,-19.6314
0,-203.08607,-242.80064
0,-281.16717,-174.92248
0,-215.89099,-194.23408
1,389.16478,-37.1592
0,-301.79916,-150.36986
0,-178.65491,-120.31272
1,404.06375,-302.56337
0,-141.50005,17.16009
1,516.55477,22.09928
0,-5.88869,80.40995
0,-246.85506,-203.86461
0,-229.9455,180.13459
0,-81.52093,247.83017
0,-285.61783,237.94187
1,192.32524,11.62777
1,217.23774,-277.372
0,-158.48692,-210.76141
0,-168.9948,-9.33609
0,-229.36473,-79.72255
0,-233.54814,-171.74013
1,449.73509,-16.30396
1,442.7968,-231.42703
0,-110.06906,154.08098
1,449.11499,-24.58305
0,-178.07092,-5.48914
0,-119.62547,-168.66424
1,492.35577,-236.3615
1,677.75402,173.61053
0,95.14308,-90.47348
0,-201.21538,377.00127
0,-138.36098,452.36474
0,-46.58863,99.09003
1,457.00636,-83.4349
0,-152.73873,137.61447
0,-240.94491,-162.15947
1,622.00941,191.36941
1,512.71353,-311.75213
1,530.95824,-107.64948
1,556.24754,-100.03042
0,-176.46798,-12.40001
0,-239.26276,-234.16961
1,487.89033,-146.63153
0,-141.2343,12.09618
0,10.39372,-279.09411
1,188.09715,65.36178
1,509.70659,-152.27349
1,665.07421,4.3318
0,-192.00909,-82.72598
0,-274.98334,-118.91313
0,-126.17202,28.40238
0,-142.64858,248.13752
0,-170.76009,395.7762
0,-258.13425,-153.25531
1,589.06717,102.78742
0,-266.27319,-158.8179
1,420.67082,-47.72613
1,375.13951,-203.09762
1,433.31115,-2.51076
0,-293.92469,-173.51887
1,658.21667,-76.80302
0,-274.45068,-65.14305
0,-184.5303,44.63803
1,592.74721,-76.79014
1,307.72391,67.19086
0,-315.99931,-168.84124
0,-263.76828,-117.42213
0,-203.47574,223.03604
0,-242.94278,-314.49013
0,-214.28805,-129.52261
0,-148.4838,-55.64308
0,-248.01981,-183.85963
0,-248.58751,-75.4074
1,534.57001,-190.62107
0,-155.92973,167.46396
1,641.17875,4.10134
1,553.6923,-132.44626
0,46.80942,8.66694
1,361.13219,-125.78068
0,-236.28679,-192.54749
1,388.63713,-113.70102
0,-335.58965,-185.03276
0,-259.07247,-198.34055
1,397.77151,-115.87513
1,516.34688,150.50881
1,472.86776,178.09263
0,-133.76689,62.93343
0,-242.3225,-118.84198
0,-265.13862,-260.4828
0,125.32846,180.54965
0,-311.63156,-224.5766
0,-155.91764,266.27375
0,-217.9185,90.6489
0,-342.23348,56.93093
0,-254.78441,24.73844
1,575.75525,-98.26073
1,570.36785,-69.6529
1,375.16447,19.26582
0,-141.76132,-77.70715
0,-170.02264,199.41329
0,-220.38076,-258.64181
0,-196.28109,-186.81974
0,-190.34983,-118.91084
0,-278.62208,-49.57102
1,588.09419,-28.36406
0,-181.40975,427.53203
0,60.38827,275.82969
1,547.17183,223.45739
1,522.87892,-121.29353
0,-118.39789,239.84774
0,-243.91237,-70.8973
0,-301.89198,-262.92828
1,360.69771,34.94349
0,-210.23317,53.23201
0,-124.37029,-33.65434
0,-101.99195,-7.81475
0,-238.37521,201.06134
1,664.48194,-23.54904
0,-321.41244,30.62747
0,-292.43104,-208.85502
0,-256.4224,-38.40874
0,-240.24713,-126.29129
1,502.27588,-74.6455
0,131.65222,52.47588
0,-190.0487,-41.45049
0,-279.90272,-226.1019
0,-228.79579,-182.17102
1,378.63611,-339.23514
1,540.70232,-7.13335
0,-8.70766,192.14734
1,476.72541,-107.9246
0,-184.10148,-55.68567
1,573.66602,50.35376
0,-153.91747,-27.21476
0,-226.11492,-56.60125
1,195.34714,-190.68799
1,492.35577,-236.3615
1,643.83428,82.39963
0,-5.40703,-174.16657
0,-322.48026,-176.86795
0,-231.73954,88.32315
0,-14.13448,83.74716
0,-190.57553,349.61541
0,-156.99055,413.28635
0,-249.31226,55.11989
0,-179.08222,11.71651
0,-250.79993,80.96445
1,335.51041,-209.83369
0,-206.32256,52.03458
0,140.89636,-132.66147
0,-218.65538,386.99899
0,-141.20413,-30.32169
1,738.7821,128.01005
0,-177.27764,-54.4855
0,-311.28417,-88.98981
0,-175.8984,43.55212
0,11.92786,-15.48699
0,-186.26531,89.3933
0,111.45412,184.46129
0,-289.25004,-315.25284
0,-188.81743,-158.14474
0,-276.23812,-166.13884
0,-226.24153,-208.37411
0,-292.50121,224.05016
0,-261.64782,-92.36855
1,508.95398,116.65238
0,-244.63769,415.22793
1,349.41233,-280.08421
0,-45.75416,84.60768
1,351.25297,-149.21922
0,-199.12425,331.36295
0,-160.82713,134.98033
1,561.71849,-59.53112
1,331.40634,-217.4061
0,-166.07576,-73.60755
0,-191.26297,353.97536
0,-284.15778,74.584
1,434.39404,-81.76858
0,-255.17436,385.7339
0,-195.09621,46.20263
0,-158.86643,-138.96949
