target,alpha,beta
1,487.58125,54.57311
0,-202.90579,-61.31531
0,-73.37649,55.66179
0,-316.74098,-90.71075
0,-184.0253,211.39193
1,606.29358,4.68956
0,-157.28922,-104.99324
0,-110.00699,79.50143
0,-266.73131,-113.70246
0,-328.84123,-315.27146
1,546.67933,-36.57831
0,-238.16474,-20.99005
0,-189.25053,-216.49297
0,-139.22571,539.93087
0,-248.31935,-59.7925
1,541.24644,-42.61165
0,-153.31401,27.31251
1,393.71775,-130.94415
0,30.63754,77.22054
0,-270.56373,-213.09903
1,314.00852,38.12827
0,-289.43781,-334.49836
0,-135.00153,224.77519
0,-96.31066,163.58156
0,-238.66293,297.23189
0,-198.1248,-50.67959
0,111.45412,184.46129
1,530.99649,-76.84347
0,-280.70383,-347.16123
1,548.43693,-148.07664
0,-184.04175,-146.73063
0,-46.58863,99.09003
0,-111.24965,272.67061
0,-263.13235,-269.02656
1,336.7593,20.96144
0,-287.81784,-80.97421
1,384.59483,-65.65957
1,544.41675,28.65983
0,18.17115,346.79844
0,-156.19974,233.17785
1,651.84442,65.42172
0,-274.02225,95.46436
1,361.75184,-102.57957
0,-207.84685,12.73195
1,178.66282,-30.3691
0,-288.27366,-166.577
0,-92.0903,337.49902
0,-81.28684,401.51937
0,-269.15363,-138.85622
1,427.64409,194.64218
1,383.76953,-204.28846
0,-220.52177,-188.27354
1,158.15339,-317.59291
1,333.43596,-182.80713
0,-192.40602,357.24445
0,-180.25829,25.43581
1,559.55695,-42.22208
0,-228.8867,-186.0652
0,131.65504,-126.71789
0,-308.32849,-150.9483
1,561.87442,-248.30339
0,-109.50957,121.64334
0,-219.95699,-13.74061
1,398.91194,57.78596
1,655.69127,137.70697
1,496.31041,-66.38367
0,-254.07111,-254.29119
0,-345.06061,-397.37992
0,-127.76119,373.12356
0,-154.42677,55.77696
0,-78.89971,1.60451
0,-215.54486,100.92938
0,-273.24795,-217.68701
0,-164.99734,-153.40733
1,666.87365,82.3343
0,1.60268,405.43658
0,-236.47509,-255.22476
0,-193.93542,184.73301
0,-172.38527,19.27543
0,-243.92127,205.39123
0,-70.83477,218.69123
0,-74.88647,49.07352
0,-195.43473,22.63317
1,638.72193,132.42097
0,-215.8054,220.66575
0,-260.81526,-129.30172
0,-89.05374,451.70522
0,-215.17627,-158.46734
0,-83.02226,-86.44874
0,-266.29958,166.42651
1,628.94649,-34.63894
1,432.7203,35.7802
0,-126.01571,274.80823
1,547.98916,14.31716
0,-90.32629,-202.84067
0,-197.56505,255.25689
0,-128.50488,-35.61194
1,655.40973,-15.97556
0,-249.78176,23.86447
1,573.5051,19.91762
1,463.57522,-65.28729
0,-295.6631,-158.78049
0,-202.33794,142.55455
0,-144.40606,-110.25762
0,-189.85423,189.05736
1,515.84619,-114.46669
0,-67.27578,127.52093
1,485.85665,-118.66139
1,572.06783,-47.00527
1,507.18015,-7.04141
0,-304.67764,-172.56372
0,-117.50304,195.90772
0,28.05655,65.54379
0,-306.8207,-134.22175
1,546.34759,-39.78747
1,336.81387,-170.74755
1,166.10142,-184.14752
1,355.98929,-305.55765
0,-144.31193,130.9666
0,-312.9002,-276.3343
0,4.85973,88.87942
1,360.35496,-78.47411
0,-241.41698,-37.27908
0,-90.41774,81.71496
0,-299.01086,-261.86553
0,83.88276,-102.74511
0,-249.63187,-58.15647
0,-237.38538,-201.70051
0,-204.19952,-131.84546
1,361.9959,68.39151
0,-277.59407,250.59103
0,-294.42752,-6.93812
0,-243.69848,-46.90511
0,-164.1811,104.03864
0,-299.27582,-321.1442
0,-216.92611,-34.97298
1,594.56805,76.87042
1,323.24178,-77.02625
0,-67.5391,-150.03475
1,422.8224,-77.57241
0,-86.70988,146.38348
0,-204.70718,-190.07701
0,-100.54533,-49.20757
1,307.02397,-15.52072
0,-190.86163,-209.97095
0,-220.92088,33.06131
0,31.11789,370.63972
0,-214.1213,-321.97715
0,-3.19381,-20.52359
0,-193.97645,260.49842
0,-174.22441,397.88991
1,437.53914,-6.62123
0,-221.01545,25.82786
0,-312.95761,-54.8361
0,-224.91559,9.17465
1,583.22722,4.34276
0,-179.65417,-22.209
1,386.70987,-37.11724
0,-183.1429,-75.65836
0,-332.40761,-313.81896
0,-269.28274,-102.49713
0,-176.05946,-126.26627
1,433.39827,271.30009
0,-328.87086,167.06107
1,230.89599,277.99152
0,-126.58683,3.50839
0,-129.41276,-329.64847
0,-194.51694,-134.36049
0,-238.92326,-27.0881
0,-241.13049,52.61075
0,-247.02373,-45.55907
0,-229.79187,-97.47266
0,-335.25296,-175.50699
1,400.37508,-34.78678
0,111.45412,184.46129
0,-337.48498,-290.92143
0,-222.99793,-125.45663
0,-146.82005,64.78646
0,-191.43685,-27.46697
0,-173.14758,74.1037
1,379.32969,-215.67042
1,112.19481,-398.65322
1,411.16445,-61.77836
0,-156.37164,-120.61377
1,396.15963,-121.12295
0,-233.59802,66.34181
0,-196.07376,-131.09766
0,-98.29335,47.13831
1,529.73077,182.40131
0,-24.9748,110.49717
0,-54.3621,96.97657
0,-132.23475,379.89313
1,492.70003,-62.99609
0,-108.27149,307.14243
0,-259.36421,-107.60635
0,-222.84922,-146.80723
0,-281.54612,-310.21102
0,-56.77471,168.39926
0,-289.8595,-377.22142
0,-257.83477,-227.83644
0,-131.3213,-20.14749
0,-66.43277,451.81206
0,-233.95855,314.04642
0,-230.94507,237.71655
1,503.01161,-48.64062
1,556.35796,-134.15145
0,-124.32153,316.32429
0,-226.2634,56.59709
1,258.85482,176.23652
0,-140.85153,-113.3083
1,516.99883,41.98602
0,-234.86069,-239.02464
0,-176.17144,63.98072
0,73.95092,344.36878
0,-98.65714,99.21424
0,-234.71905,-220.81082
0,-79.89197,521.82624
0,30.00195,-161.95382
0,-185.20049,-109.49726
0,-234.3103,-70.82722
1,479.12233,214.031
0,-128.55872,193.34108
0,116.14946,103.19616
0,-61.01934,123.20955
1,524.93899,0.08944
0,-321.25585,-225.34392
0,-257.61402,-121.22477
0,-131.92843,320.92031
1,445.09245,-86.11537
0,43.38002,19.20621
0,-252.77108,-203.26173
0,-162.0823,281.07227
0,-225.70112,-197.96372
1,305.21174,34.57488
0,-40.05094,319.75687
1,346.89509,-71.15318
0,-177.5233,17.68534
0,-216.72292,358.71521
0,-83.80332,202.26393
0,-100.36972,53.34138
1,457.64938,-1.82825
1,721.85775,42.86404
0,-200.01646,-281.46359
1,304.31172,-36.92431
0,-341.43839,59.29545
0,8.22331,36.89033
0,-204.02279,-135.08804
0,-209.01533,53.90892
1,595.69258,54.36156
0,-101.38202,1.88895
0,-309.08151,25.67835
0,-94.99715,414.39973
0,-294.78665,146.13671
1,455.64012,125.33415
0,-184.51643,210.53171
0,-223.8658,-93.37498
0,-176.09507,-33.97644
0,-115.9263,205.16822
0,-260.74567,-151.09408
0,-160.06347,-105.23516
0,-251.98887,-49.52357
0,-193.36715,104.13411
0,-191.07196,-42.29266
0,-325.40054,-268.68442
0,-181.85648,-96.7912
0,-193.3521,118.97362
0,-154.06062,67.2366
0,-216.93166,-270.92845
0,111.45412,184.46129
0,-194.07577,277.14565
0,-72.52342,429.662
1,618.90118,72.24042
0,-174.4298,133.82037
0,-280.15628,-209.27109
0,-191.12103,328.92738
1,373.55424,135.48795
0,-84.6758,-31.68442
0,-239.02855,-34.9803
1,482.87442,-110.02196
0,-262.93719,-255.84427
0,-167.2235,356.3077
1,418.6989,0.00622
1,565.90118,-56.08023
0,-117.9372,442.36602
0,-86.91325,23.83742
0,-92.76799,481.29156
0,-208.25275,-20.41578
0,131.61734,-5.41717
1,354.86492,-132.62723
1,144.79792,-60.65748
0,-151.75343,52.43311
1,577.03171,222.94268
0,-219.44387,-163.57771
1,678.978,75.93566
0,-200.69563,208.54647
0,-92.89141,13.04505
1,548.31143,-28.50443
0,-187.51565,303.60419
0,-224.55538,265.30798
0,-227.0693,-107.99417
0,-141.37553,224.39883
0,-333.05542,147.68805
1,493.05604,-39.96161
0,-204.83501,134.97299
1,360.69166,-116.2725
1,247.03544,-170.8386
0,-300.22742,-85.28407
0,-201.80313,-101.21052
0,-303.9668,-55.80868
0,-242.76545,132.72165
0,-91.16271,383.59499
0,-177.65647,25.01263
0,-257.33229,-233.38984
1,501.46522,-76.31799
0,-122.65601,97.59992
0,-302.69729,-158.23192
0,-339.31497,-177.69218
0,-44.22398,-0.3379
1,524.80858,-42.71041
0,-150.57178,384.4056
0,-201.33849,-218.52093
0,-178.96346,-28.48845
0,-78.64058,-39.21692
0,-231.41391,156.99445
0,-194.22131,268.93971
0,-2.50971,-70.35898
0,-201.34606,243.79066
0,-231.36673,-117.08517
0,-182.62492,-153.41446
0,-262.88406,30.49026
0,-2.98993,152.91947
0,111.45412,184.46129
0,-153.98121,-61.76926
1,264.8035,-131.51697
1,533.47826,89.09048
0,-136.41859,304.45525
0,-346.53521,-145.22702
0,-152.52505,-170.62236
0,-217.42998,-120.27926
0,-245.23482,269.47236
0,-213.53235,-37.08477
1,606.63889,31.64875
0,-112.29419,405.99758
0,-157.03002,2.44121
1,531.77938,120.08804
0,-230.07598,-348.34961
0,-145.42661,54.55765
0,-158.79533,-78.16272
0,-17.29118,-128.62819
0,-214.74208,177.10063
1,538.23913,-77.82102
0,-196.86914,27.19456
1,351.7973,-137.46253
0,-268.00329,-93.62263
0,-269.94425,-297.74094
0,-266.6794,-201.33559
0,-291.65463,-61.77339
0,-177.91374,-80.71378
0,-223.49877,232.36658
1,610.41881,182.99608
0,-115.44645,274.32757
1,585.364,-18.25212
0,-141.6614,291.03023
0,-213.33362,-112.77693
1,305.05074,82.23925
0,149.01431,28.442
1,613.24854,40.36801
0,-50.13196,374.31622
0,-226.63061,-307.16723
1,499.05365,-83.30309
0,-149.591,9.01901
0,-140.86345,-118.56547
1,469.05668,186.16848
0,-77.25291,-72.21694
0,-91.38677,-52.55147
0,-223.17947,-145.66893
0,-338.84801,-196.47477
1,436.44821,-4.42804
0,-165.82733,144.40276
1,617.05731,72.36056
0,-349.39546,-170.47468
0,-301.4184,-110.56185
0,-143.6155,25.60966
1,404.53985,-188.49827
0,-80.25,169.23119
1,301.07337,-149.2895
0,-326.54693,-389.17626
0,-194.85129,155.96616
1,579.36052,-34.97878
0,-209.18776,134.1776
0,-210.38392,332.11686
0,-119.78331,-17.63462
0,-182.09136,-138.53108
1,543.50484,-6.30558
0,-124.39238,435.62091
0,-246.87644,-7.27695
0,-9.68366,-99.05147
0,-137.058,12.0006
0,-282.4534,153.98789
0,-274.66233,-136.68362
0,9.69699,-21.82864
0,-266.8111,8.37171
0,-118.94529,370.03365
0,-174.41925,271.91365
1,471.63431,114.59704
1,413.31543,-165.65548
1,510.97727,65.51564
0,93.47674,256.63299
0,-235.87086,-119.89762
1,452.58935,-175.93438
1,379.32969,-215.67042
0,-182.61933,-107.01403
0,-165.60298,220.73015
0,-168.31896,472.73365
0,-195.32876,-113.83466
0,-101.44512,150.20831
0,-205.24238,-71.23114
0,-263.835,-171.68478
0,-191.93467,251.56859
1,655.40973,-15.97556
0,-109.84641,85.13578
0,-253.60839,-176.66342
0,-172.67678,-126.35177
0,53.78487,177.28017
0,-145.55088,555.77003
1,661.74021,-168.28868
0,-100.33675,-32.38395
0,-142.87464,63.97732
0,-231.27796,-233.39489
0,140.0559,28.40725
0,-272.85043,-204.73361
0,-245.98515,205.92951
0,-194.42111,-37.992
0,-231.43016,-9.77069
0,-356.07116,-240.09708
1,473.95133,-99.06984
1,475.93008,-203.94522
0,-138.5,-70.68144
0,-134.65383,155.48967
0,-177.34411,-283.6201
0,-186.16782,-5.93679
0,-194.88316,0.05709
0,-238.21561,127.84641
0,-143.79848,192.94973
1,740.04361,78.49509
0,-77.98982,-157.5257
0,-248.38202,48.0455
0,-260.85492,27.15898
1,304.86476,-114.15217
0,-205.97526,95.13571
0,-198.10625,116.63749
1,389.57446,-165.943
1,519.4985,-178.74413
1,474.08875,-8.92514
0,-262.69183,124.83905
0,-261.39966,24.05408
1,496.79679,-194.19179
0,-119.32641,-53.99321
0,-162.778,-126.45818
1,556.41593,-5.53813
0,-294.28456,298.03493
0,-136.90463,-55.73434
0,-48.25697,-169.54678
0,-198.4335,359.6917
0,-148.45073,25.96363
0,-108.30313,423.22193
0,-274.79849,-273.8391
0,-187.7084,30.03632
0,-185.08605,-82.39893
0,-230.83706,-219.99242
1,558.04006,94.6858
0,-71.19942,-111.49953
1,464.0576,-93.17913
0,-186.03062,-213.90823
1,656.30741,129.55699
0,-303.76745,-265.5179
1,303.89052,-71.42298
0,-101.0314,-17.65662
0,-298.32859,-121.79392
1,341.66823,14.91011
1,383.80183,-205.17558
0,-290.59416,289.32745
1,530.13015,168.30266
0,-157.15948,-99.59008
0,-111.40464,-20.45013
1,222.81175,-218.54226
0,-238.67432,-133.70373
0,-212.96832,-194.00174
1,471.40768,-217.74046
0,-216.44966,192.83787
0,-262.71072,60.53918
0,-89.6405,231.29394
0,146.20176,131.731
0,-224.50318,57.61138
1,293.84526,-305.60281
0,-297.94608,-174.02889
0,-286.7689,210.08365
0,-215.20516,-70.38961
1,510.21767,-131.53983
0,-274.9111,0.91033
0,-322.53059,37.24566
1,267.60484,-10.72495
0,-110.24396,473.32447
0,-104.58375,-82.25817
1,533.05148,-164.41166
1,410.45242,-232.19027
0,60.29797,139.46181
1,548.15397,-113.98599
0,-264.0526,-316.40076
1,606.56139,37.90505
1,400.45315,-71.62839
1,572.70925,78.34292
0,-89.65103,545.66895
1,669.37932,97.217
1,433.74059,-146.07331
0,-166.75003,-90.86141
0,-264.99577,-153.27034
0,-346.3132,-179.4209
1,627.36763,-31.40945
1,337.07683,-191.4606
1,292.16885,-268.26347
0,-310.43698,-123.99963
0,-187.71772,413.33695
0,-266.72074,9.56346
0,-220.80259,368.29737
0,-111.40846,-21.67605
1,453.23096,94.57202
0,-229.82057,-104.04776
0,-264.21545,9.0461
1,415.13002,30.4995
0,-276.66058,-198.85531
0,-255.884,-179.605
0,-82.88357,350.27322
0,-197.34222,-55.56899
1,495.66682,-223.32165
1,188.73197,-148.81676
0,-251.64855,-281.0644
0,74.37851,-108.87081
0,-191.02419,-185.97114
0,-267.31836,-146.04734
0,-295.61282,-286.97951
0,-146.34845,425.05304
0,-47.32379,-81.44985
0,-313.9651,-73.45305
0,-245.67848,122.59885
0,-266.68575,-87.0535
0,110.03336,-100.88451
1,375.00311,63.22339
0,-161.56731,343.2648
0,-316.08258,-182.10697
0,-59.3606,356.02628
0,-179.34771,-136.44961
1,445.37056,-243.91054
0,-201.96584,-117.65468
1,485.08024,-22.42353
0,-149.56215,-62.39264
0,-213.73482,-273.05452
0,-238.53233,291.75174
1,536.42026,-100.42844
0,-69.77701,-368.29477
0,-262.83892,-98.98888
0,-215.90437,-140.86666
0,-247.49408,-98.21538
0,-142.75366,220.79011
0,-353.68244,-194.16354
1,189.89626,-182.33739
0,-70.33213,239.28879
0,-110.28639,14.78443
0,-186.58601,18.10589
0,-275.5863,-337.46484
0,-189.1941,11.88597
1,670.36154,22.93065
0,-308.32297,-77.62128
0,80.74519,61.79262
0,-190.19956,107.25632
0,-141.62311,-28.30709
0,-113.74817,-26.55531
1,366.13401,132.71675
0,-206.99929,-76.7941
0,-165.59278,1.84204
0,-221.59521,-233.35502
0,-219.58859,-248.87599
0,-91.37103,263.52761
0,-239.66684,-354.04613
0,-282.97543,-166.30085
0,-289.39425,149.28186
0,-193.21917,-263.16906
0,-181.35125,-117.33014
0,-319.29509,-272.08019
0,-214.62551,276.34253
0,-143.37341,282.40339
1,407.32574,-63.37243
0,-319.95638,81.7813
0,-171.4277,-95.92393
1,362.78683,-241.05731
1,525.46413,1.34821
0,-256.01748,-189.12087
0,-255.22243,-1.15015
0,-267.23463,0.0931
0,-184.19193,30.09181
0,-89.84906,-60.0546
1,517.27672,-58.60281
0,-229.83367,-275.49995
0,-57.01685,415.76271
0,-329.56653,-218.79
0,-31.53334,282.25059
0,-335.27577,-216.8942
1,303.09491,80.98237
0,-134.84566,407.2052
1,473.28676,-31.94311
1,691.9365,44.92254
1,631.65942,-59.44994
0,-135.60094,444.28683
0,-130.13076,137.80778
0,-208.21966,-233.97885
0,-142.45485,509.20522
0,-320.46713,-138.01746
0,-119.66696,273.46194
0,-16.63791,31.42714
0,-265.25844,-210.28085
1,441.3458,30.5107
1,555.64282,26.5591
0,-223.77004,-123.6733
1,511.17145,-238.58183
1,641.27083,96.11137
0,-115.58728,402.33255
1,446.79941,232.47854
0,-283.12973,-261.80683
0,-267.96987,-223.63728
0,-189.19517,1.02505
0,-266.96463,221.80887
0,-192.77846,30.06843
1,670.40426,91.38633
1,274.30608,-111.11276
1,662.02342,-103.42163
0,-8.22165,-15.50662
0,-277.17063,27.81052
1,565.13479,244.23979
1,305.46149,-139.2199
0,111.13882,357.12249
0,-342.0283,-298.25154
0,-191.31123,-55.32862
1,329.72525,-339.25824
0,16.16989,-31.60186
0,-273.76348,120.37848
1,268.86689,-90.37585
0,-170.69865,282.49494
0,-227.85839,-213.97394
0,52.17738,-248.47061
1,697.71577,70.70413
0,-271.52156,-300.89814
0,-205.1037,-139.49306
0,-323.39885,102.80997
0,-130.9239,514.45796
1,290.83441,105.90323
1,563.29986,5.12971
0,132.07926,-90.45819
1,205.00561,-217.5345
1,365.07538,-13.98845
1,574.85088,-97.71158
0,-306.07906,-37.27657
1,324.64211,328.69019
1,704.09858,133.183
0,-137.79097,-83.19471
0,-176.69948,194.5717
0,-143.98096,159.35808
1,522.43238,-90.46675
0,-180.7922,-18.90147
0,-278.25906,27.75697
0,-304.54721,-82.08054
0,-129.12044,276.81331
0,-55.71155,94.81365
0,-229.28902,124.65239
0,-148.31055,146.44528
0,-231.25464,-42.38401
0,-217.68727,-231.48612
1,245.68194,222.03979
0,-167.1813,-129.19271
1,513.55149,-238.37263
0,88.51161,-211.92204
0,-191.20336,-89.27239
0,-107.27375,148.265
0,-210.47468,-30.98248
0,-243.62011,-179.04202
0,-245.54035,-300.72122
1,533.12153,10.48667
1,463.33519,-260.96239
0,-240.781,115.0103
0,-247.00885,-84.9215
1,459.84859,-61.73005
0,-140.65899,-99.13573
0,-259.48271,-120.85006
0,-253.49783,161.89526
0,-224.23636,308.14149
0,-275.62078,-90.92078
0,-330.26983,-221.79191
1,589.8377,-57.37453
1,592.27412,-91.62204
0,-237.8895,-272.65557
0,-135.33502,265.07276
0,-56.73229,-58.99047
0,-219.12823,-198.68934
0,-101.99841,119.69617
0,-131.3476,357.44502
0,-266.26374,-36.52006
0,-174.36963,-50.7254
0,-204.75497,279.28839
0,-213.32383,395.45773
0,-266.45524,-275.53711
1,441.84089,231.37647
1,587.15917,-116.92583
1,362.59609,-8.37261
0,-227.37277,-86.09475
1,525.22328,25.48088
0,-86.08927,442.90105
0,-288.9222,-213.57638
0,-313.80489,-135.23204
1,540.70388,69.13973
0,-261.92527,112.14995
1,520.19833,-60.10255
0,-209.4259,-151.00122
0,-175.53927,-179.6609
0,-307.73846,108.62622
0,-240.18797,-113.13085
0,-158.55698,362.31398
1,204.61445,-392.36223
0,-217.78059,384.40603
1,347.38151,98.40121
0,-187.79005,176.73282
0,-115.49534,34.31867
1,202.00296,155.84151
1,292.33526,-169.31652
0,-114.06827,319.00437
1,416.09822,-233.27649
0,-236.75918,-202.89046
0,-247.77552,-73.4181
0,-173.8787,387.43435
1,569.92282,57.9286
0,-206.72325,38.30183
0,-72.47004,309.83375
0,-286.49786,177.10565
1,238.18048,-360.31164
0,-161.1315,-193.01473
0,-23.04725,-19.44497
1,623.23194,36.17173
0,-213.47453,-222.44816
0,-128.44885,317.64007
0,-145.30554,-125.96303
0,-176.70774,-82.08135
0,-83.31926,73.98436
0,-319.91567,-107.28248
0,-99.42005,243.84147
0,-144.01943,26.3358
1,540.36022,93.05425
0,-237.85212,149.80842
0,-180.40682,384.74233
0,-224.18597,-148.98288
0,-235.68441,-93.23146
0,-231.34915,134.90996
0,-203.72878,-156.923
0,-238.37834,-92.26485
0,-102.89985,413.5386
0,-354.96464,-265.67906
0,-33.47659,-70.12822
0,-135.85615,318.74745
0,-147.67596,84.90364
0,-190.77497,-41.3651
0,-36.8027,322.71723
1,305.5318,68.50857
0,-272.91502,56.74045
0,-104.25496,197.66294
1,789.09456,84.11693
0,-180.73918,132.94363
1,338.30827,56.59699
0,-208.80263,-165.32954
0,-75.15937,-293.88314
0,18.0483,52.39377
0,-174.50843,-230.57011
1,560.45393,-31.83
0,-70.67123,220.91596
0,-309.43273,-50.73477
1,645.32484,100.6928
1,467.25656,-149.2883
1,675.68697,36.26469
1,231.30836,-227.49371
0,-278.84764,92.17367
0,-58.23122,-413.33011
1,277.9051,-252.76493
0,-13.90614,375.9492
0,-251.89621,-137.27062
0,41.06054,8.66802
0,-123.3662,32.9741
0,-280.57912,-89.4259
1,184.25523,-326.57733
1,502.67127,-203.50915
0,-10.69484,99.67774
1,203.24796,165.51027
1,553.5502,213.6741
0,-108.70961,368.14764
0,34.00789,-167.91483
0,-185.43956,-76.8163
0,-126.25925,117.09967
0,-205.38579,-177.41032
0,-234.9264,137.71595
0,-254.06052,-222.92558
0,-124.03686,242.15773
0,-187.90786,-118.36481
0,-148.35047,199.04097
1,395.63357,-324.9851
1,586.97628,6.83278
0,-214.36038,-92.41342
0,-262.63437,97.65997
0,-155.86102,-171.04637
1,465.32394,69.16596
0,-209.45633,280.18832
1,413.68916,-134.32437
0,-126.26598,-93.02111
1,673.88082,4.67589
1,482.32335,-198.45856
0,-220.5325,147.91174
0,-141.35521,426.71265
0,-53.40445,183.25566
0,-271.38119,-20.40943
0,-259.39345,-167.97168
0,-271.14001,-165.17307
0,-232.34805,-236.64793
0,-272.17991,-219.63797
0,-319.23045,-204.78976
1,475.67741,125.04966
0,-90.78681,-96.68077
0,-169.43898,116.61579
0,-295.32578,-40.92347
0,-147.07013,92.92311
0,-252.09625,-118.19426
0,-250.7447,-317.13309
0,-160.90961,30.07361
1,625.28068,10.7116
0,-96.0886,87.38168
1,400.34641,-172.64021
0,-187.11915,212.78754
0,-275.13709,-149.67632
0,-37.94507,451.44657
1,658.73006,-7.97644
0,-255.22159,-278.69912
1,465.70084,41.10964
0,-115.7703,317.39048
0,-147.71859,307.95058
1,434.66894,50.04361
1,353.76247,-199.9476
0,-143.29401,-84.96065
0,-133.8038,-69.63173
1,448.20177,-61.99863
0,-146.92575,220.42648
0,-140.97899,376.32055
0,-171.0385,-271.28338
0,-188.22132,45.58411
1,563.58632,-53.49037
0,-28.20233,146.4539
1,522.3806,61.58889
0,-126.67641,-174.60966
0,-158.87485,219.79838
0,-121.10959,-136.31705
0,-297.2101,-231.70599
0,-225.08186,270.14982
0,-179.80178,163.34393
